skill,canonical_name,category,zindua_track,match_pattern,negative_context,is_diffusion_baseline,notes
Python,python,language,Software Engineering Core,\bpython\b,monty python|python snake,0,
JavaScript,javascript,language,Software Engineering Core,\b(javascript|java\s?script)\b,,0,
TypeScript,typescript,language,Frontend Development,\b(typescript|type\s?script)\b,,0,
Java,java,language,Software Engineering Core,\bjava\b(?!\s*script),javascript|java script,1,Baseline: fully diffused enterprise language
C#,csharp,language,Software Engineering Core,(\bc#|\bc\s?sharp\b|\.net\b),,0,
C++,cplusplus,language,Software Engineering Core,(\bc\+\+|\bcpp\b),,0,
C,c-lang,language,Software Engineering Core,"\bC\b(?![+#])(?=\s*(programming|language|/|,\s*(c\+\+|c#|java|python)|and\s+c\+\+))",c-level|vitamin c|hepatitis c|c-suite|grade c,0,Ambiguous: must not swallow C++ or C#; needs list or programming context
Go,golang,language,Software Engineering Core,"(\bgolang\b|(?<=\bin\s)go\b|(?<=\bwith\s)go\b|(?<=\busing\s)go\b|\bgo\s+(developer|engineer|programming|language|routines?|microservices?|backend)\b|\bgo\b(?=\s*[,/]\s*(python|java|rust|node|c\+\+|scala|kotlin|typescript)))",go-getter|go the extra mile|go-to|on the go|go live|go beyond|ready to go|go above|go through|good to go,0,"Ambiguous: needs preposition or tech-noun context, plus an idiom veto"
Rust,rust,language,Software Engineering Core,\brust\b(?!\s*(proof|resistant|remov)),rust prevention|anti-rust|rust treatment|corrosion,0,Ambiguous in manufacturing roles
Ruby,ruby,language,Software Engineering Core,\bruby\b,ruby anniversary|ruby red,0,
PHP,php,language,Software Engineering Core,\bphp\b,,0,
Swift,swift,language,Software Engineering Core,\bswift\b(?!\s*(action|response|delivery|resolution|turnaround|manner|decision|deployment|adoption|execution|progress|growth|expansion|onboarding|scaling|and\s+decisive)),swift payment|swift code|swift network|swiftly|swift justice,0,Ambiguous: adjective sense and the SWIFT banking network
Kotlin,kotlin,language,Software Engineering Core,\bkotlin\b,,0,
R,r-lang,language,Data Science Core,(\bR\s*(programming|language|studio|shiny)\b|\b(in|using|with)\s+R\b(?![&\-])|\bR\s*(&|and|/)\s*Python\b|\bPython\s*(&|and|/)\s*R\b),r&d|r & d|research and development,0,Highly ambiguous: needs a co-signal and must not match R&D
Scala,scala,language,Data Engineering,\bscala\b,,0,
Bash,bash,language,DevOps Engineering,\b(bash|shell\s+script(ing)?)\b,,0,
SQL,sql,database,Data Analytics,\bsql\b,nosql|no-sql,1,Baseline: fully diffused
HTML,html,web,Frontend Development,\bhtml5?\b,,1,Baseline: fully diffused
CSS,css,web,Frontend Development,\bcss3?\b,,1,Baseline: fully diffused
Git,git,tooling,Software Engineering Core,\bgit\b(?!hub|lab|ignore),github|gitlab,1,Baseline: fully diffused
Linux,linux,platform,DevOps Engineering,\b(linux|ubuntu|debian|centos|rhel)\b,,1,Baseline: fully diffused
